Model, training_time, testing_time,  train_size, test_size, accuracy, precison, f1, recall
shard_10_model_B4_30s, 0.262,0.112,14773,6332,0.742,0.738,0.739,0.742
shard_11_model_B4_30s, 0.262,0.112,14773,6332,0.749,0.750,0.749,0.749
shard_12_model_B4_30s, 0.259,0.112,14773,6332,0.756,0.760,0.757,0.756
shard_13_model_B4_30s, 0.261,0.114,14773,6332,0.741,0.739,0.739,0.741
shard_14_model_B4_30s, 0.264,0.113,14773,6332,0.752,0.751,0.751,0.752
shard_15_model_B4_30s, 0.259,0.113,14773,6332,0.745,0.746,0.744,0.745
shard_16_model_B4_30s, 0.262,0.113,14773,6332,0.744,0.742,0.742,0.744
shard_17_model_B4_30s, 0.266,0.113,14773,6332,0.758,0.761,0.757,0.758
shard_18_model_B4_30s, 0.262,0.114,14773,6332,0.750,0.750,0.749,0.750
shard_19_model_B4_30s, 0.258,0.112,14773,6332,0.753,0.752,0.752,0.753
shard_20_model_B4_30s, 0.262,0.113,14772,6332,0.756,0.754,0.754,0.756
shard_21_model_B4_30s, 0.256,0.112,14772,6332,0.734,0.730,0.731,0.734
shard_22_model_B4_30s, 0.258,0.114,14772,6332,0.751,0.751,0.750,0.751
shard_23_model_B4_30s, 0.259,0.112,14772,6332,0.749,0.746,0.747,0.749
shard_24_model_B4_30s, 0.259,0.112,14772,6332,0.751,0.752,0.750,0.751
shard_25_model_B4_30s, 0.263,0.111,14772,6332,0.749,0.744,0.745,0.749
shard_26_model_B4_30s, 0.264,0.112,14772,6332,0.749,0.746,0.746,0.749
shard_27_model_B4_30s, 0.263,0.113,14772,6332,0.749,0.750,0.748,0.749
shard_28_model_B4_30s, 0.261,0.113,14772,6332,0.751,0.749,0.750,0.751
shard_29_model_B4_30s, 0.266,0.113,14772,6332,0.746,0.745,0.745,0.746

aggregated_model_B4_30s, 1.105,0.208,14773,6332,0.759,0.760,0.758,0.759

